Application,rid,cvss,rat,ivcrt,dsu,fdl,cg,cl,cg.1,cg.2,cg.3,cg.4,cg.5,cg.6,cg.7,cg.8,cg.8a,cg.9,cg.10,cg.11,cg.12,cg.13,cg.14,cg.15,cg.16,cl.1,cl.2,cl.3,cl.4,cl.5,cl.6,cl.7,cl.8,cl.9,cl.10,cl.11,cl.12,cl.13,cl.14,cl.15,cl.16,cl.17,cl.18,cl.19,cl.20,cl.21,cl.22,cl.23,cl.24,cl.25,cl.26,
castify.roku,0.2000949,0.62,0.86,1,0,0.018181818,0.968888889,0.545454546,0.985507246,0.043478261,0.942028986,0.144927536,0,0.057971014,0.014492754,0,0,0,0.014492754,0,0.028985507,0.927536232,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
castwebbrowsertotv.castwebvideo.webvideocaster,0.16871021,0.63,0.86,1,0.306805075,0.054545455,0.497777778,0.363636364,0.507246377,0.043478261,0.463768116,0.072463768,0,0.014492754,0.014492754,0.014492754,0,0,0.014492754,0,0.028985507,0.449275362,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
cn.ubia.ubox,0.396639117,0.62,0.6,1,0.001153403,1,0.56,0.181818182,0.565217391,0.014492754,0.536231884,0.086956522,0,0.014492754,0.014492754,0.028985507,0.014492754,0,0.014492754,0,0,0.52173913,0.014492754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
co.bitfinder.awair,0.251147021,0.65,0.7,1,0.021914648,0.072727273,0.248888889,0.272727273,0.260869565,0.014492754,0.260869565,0,0,0,0.014492754,0,0,0,0,0,0,0.260869565,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
co.sonofy.smartroomsolutions,0.44788447,0.59,0.7,0,0.025374856,0,0.275555556,0.181818182,0.260869565,0.028985507,0.231884058,0.086956522,0,0.014492754,0.014492754,0,0,0,0,0,0.014492754,0.231884058,0.014492754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
com.abb.energyviewer,0.27807925,0.56,0.6,0,0.028835063,0,0.2,0.181818182,0.188405797,0.014492754,0.173913044,0.028985507,0,0.014492754,0,0.028985507,0.014492754,0,0,0.014492754,0,0.173913044,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
com.adt.pulse,0.176332568,0.59,0.9,0,0.215686275,0.127272727,0.235555556,-1,0.246376812,0.028985507,0.231884058,0,0,0,0.014492754,0,0,0,0,0,0.014492754,0.231884058,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
com.alarm.alarmmobile.android.guardian,0.127771351,0.59,0.8,0,0.024221453,0.036363636,0.24,0.181818182,0.231884058,0.014492754,0.231884058,0.043478261,0,0.014492754,0.014492754,0,0,0,0,0,0,0.231884058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
com.allocacoc.smart,0.130385858,0.62,0.82,0,0.387543253,0.018181818,0.542222222,-1,0.565217391,0.014492754,0.550724638,0.028985507,0.014492754,0.028985507,0.014492754,0,0,0,0.014492754,0,0,0.536231884,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
com.angelcam,0.163775988,0.6,0.86,0,0.046136102,0.072727273,0.151111111,0.181818182,0.15942029,0.014492754,0.15942029,0,0,0,0,0,0,0,0,0,0,0.15942029,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
